abate,(verb) make less active or intense
abdicate,"(verb) give up, such as power, as of monarchs and emperors, or duties and obligations"
aberrant,(noun) one whose behavior departs substantially from the norm of a group
abeyance,(noun) temporary cessation or suspension
abject,(adj) of the most contemptible kind
abjure,"(verb) formally reject or disavow a formerly held belief, usually under pressure"
abscission,(noun) shedding of flowers and leaves and fruit following formation of scar tissue in a plant
abscond,(verb) run away; usually includes taking something or somebody along
abstemious,(adj) sparing in consumption of especially food and drink
abstinence,(noun) the trait of abstaining (especially from alcohol)
abysmal,(adj) very great; limitless
accretion,(noun) an increase by natural growth or addition
accrue,(verb) grow by addition
adamant,(noun) very hard native crystalline carbon valued as a gem
adjunct,(noun) something added to another thing but not an essential part of it
admonish,(verb) admonish or counsel in terms of someone's behavior
adulterate,"(verb) corrupt, debase, or make impure by adding a foreign or inferior substance; often by replacing valuable ingredients with inferior ones"
aesthetic,(noun) (philosophy) a philosophical theory as to what is beautiful
affected,(adj) acted upon; influenced
affinity,(noun) (immunology) the attraction between an antigen and an antibody
aggrandize,(verb) add details to
aggregate,(noun) the whole amount
alacrity,(noun) liveliness and eagerness
alchemy,(noun) the way two individuals relate to each other
allay,(verb) lessen the intensity of or calm
alleviate,"(verb) provide physical relief, as from pain"
alloy,(noun) a mixture containing two or more metallic elements or metallic and nonmetallic elements usually fused together or dissolving into each other when molten
allure,(noun) the power to entice or attract through personal charm
amalgamate,(verb) to bring or combine together or with something else
ambiguous,(adj) open to two or more interpretations; or of uncertain nature or significance; or (often) intended to mislead
ambivalence,(noun) mixed feelings or emotions
ambrosia,(noun) a mixture of nectar and pollen prepared by worker bees and fed to larvae
ameliorate,(verb) to make better
amenable,(adj) disposed or willing to comply
amenity,(noun) pleasantness resulting from agreeable conditions
amulet,(noun) a trinket or piece of jewelry usually hung about the neck and thought to be a magical protection against evil or disease
anachronism,(noun) something located at a time when it could not have existed or occurred
analgesic,(noun) a medicine used to relieve pain
analogous,(adj) similar or equivalent in some respects though otherwise dissimilar
anarchy,(noun) a state of lawlessness and disorder (usually resulting from a failure of government)
anodyne,(noun) a medicine used to relieve pain
anomalous,(adj) deviating from the general or common order or type
antecedent,(noun) someone from whom you are descended (but usually more remote than a grandparent)
antediluvian,(noun) any of the early patriarchs who lived prior to the Noachian deluge
antipathy,(noun) a feeling of intense dislike
